Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,108.1,-101.65,0.0,top
D1,SK6812mini-e,SK6812MINI-E,105.1,-100.0,-90.0,top
J1,Conn_01x08,JUSHUO AFC11-S08ICC-00,95.8,-92.8,30.0,top
J2,Conn_01x08,JUSHUO AFC11-S08ICC-00,104.1,-107.1,30.0,top
R1,10k,R_0402_1005Metric,91.3,-97.8,180.0,top
R2,100R,R_0402_1005Metric,108.1,-100.6,180.0,top
